school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,parent_edu_avg,parent_edu_max,parent_edu_diff,study_leisure_ratio,study_leisure_diff,social_engagement,total_alcohol,alcohol_weekly_avg,support_score,grade_progression,grade_avg_g1g2,grade_trend,age_above_avg,absence_category,log_absences,studytime_x_parent_edu,failures_x_absences,internet_x_higher,famsup_x_studytime,alcohol_x_studytime,high_absence_risk,has_failures,multiple_failures,low_study_risk,high_alcohol_risk,combined_risk_score
0,0,18,1,1,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,False,False,False,False,False,False,False,True,False,False,False,True,False,4.0,4,0,0.5,-1,4,2,1.0,1,1,5.5,1,1,2,1.9459101490553132,8.0,0,0,0,4,0,0,0,0,0,0
0,0,17,1,1,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0,1,0,0.5,-1,3,2,1.0,1,0,5.0,0,1,1,1.6094379124341003,2.0,0,1,2,4,0,0,0,0,0,0
0,0,15,1,0,1,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,False,False,False,False,False,True,False,False,False,True,False,True,False,1.0,1,0,0.5,-1,2,5,2.2857142857142856,2,1,7.5,1,0,2,2.3978952727983707,2.0,30,1,0,10,1,1,1,0,0,2
0,0,15,1,1,1,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,True,False,False,False,False,False,True,False,True,False,False,True,False,3.0,4,2,1.0,1,4,2,1.0,2,-1,14.5,-1,0,1,1.0986122886681098,9.0,0,1,3,6,0,0,0,0,0,0
0,0,16,1,1,1,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,False,True,False,False,False,True,False,False,True,False,False,False,False,3.0,3,0,0.5,-1,2,3,1.2857142857142858,2,4,8.0,1,0,1,1.6094379124341003,6.0,0,0,2,6,0,0,0,0,0,0
0,1,16,1,0,1,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,False,False,True,False,False,True,False,False,False,False,True,True,False,3.5,4,1,0.4,-2,3,3,1.2857142857142858,2,0,15.0,0,0,2,2.3978952727983707,7.0,0,1,2,6,1,0,0,0,0,1
0,1,16,1,0,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,False,True,False,False,False,True,False,False,True,False,False,True,False,2.0,2,0,0.4,-2,4,2,1.0,0,0,12.0,0,0,0,0.0,4.0,0,1,0,4,0,0,0,0,0,0
0,0,17,1,1,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,False,True,False,False,False,False,False,True,True,False,False,True,False,4.0,4,0,1.0,1,4,2,1.0,2,-1,5.5,-1,1,2,1.9459101490553132,8.0,0,0,2,4,0,0,0,0,0,0
0,1,15,1,0,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,False,False,True,False,False,True,False,False,True,False,False,True,False,2.5,3,1,0.6666666666666666,0,2,2,1.0,2,2,17.0,1,0,0,0.0,5.0,0,1,2,4,0,0,0,0,0,0
0,1,15,1,1,1,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,False,True,False,False,False,True,False,False,True,False,False,True,False,3.5,4,1,0.3333333333333333,-3,2,2,1.0,2,1,14.5,1,0,0,0.0,7.0,0,1,2,4,0,0,0,0,0,0
